file_name,annotation
018086.jpg,3
009334.jpg,0
016545.jpg,0
005180.jpg,3
010404.jpg,3
017386.jpg,0
015267.jpg,3
016267.jpg,2
012526.jpg,3
011198.jpg,0
003423.jpg,1
005610.jpg,0
005316.jpg,4
004609.jpg,2
003096.jpg,1
006830.jpg,0
013992.jpg,2
016258.jpg,3
001641.jpg,0
009460.jpg,2
006067.jpg,1
004422.jpg,0
009181.jpg,2
005651.jpg,0
018988.jpg,0
011888.jpg,0
016923.jpg,2
014683.jpg,2
001238.jpg,3
011806.jpg,0
015751.jpg,4
005344.jpg,4
006820.jpg,0
018590.jpg,4
006182.jpg,0
003772.jpg,3
013868.jpg,0
006764.jpg,3
009112.jpg,0
017009.jpg,3
006001.jpg,0
016870.jpg,0
018531.jpg,0
016756.jpg,0
016718.jpg,0
014429.jpg,0
010212.jpg,1
018621.jpg,1
018686.jpg,1
008923.jpg,3
010103.jpg,2
007988.jpg,0
003013.jpg,1
000032.jpg,0
005822.jpg,0
008858.jpg,0
000478.jpg,4
011699.jpg,0
010462.jpg,4
018963.jpg,0
017234.jpg,0
013386.jpg,0
004960.jpg,0
000306.jpg,2
009217.jpg,2
011804.jpg,3
010279.jpg,1
009408.jpg,3
008974.jpg,3
005329.jpg,1
011864.jpg,1
010040.jpg,0
017060.jpg,0
005777.jpg,0
010918.jpg,0
003036.jpg,0
005419.jpg,3
014717.jpg,0
003728.jpg,1
009870.jpg,0
011564.jpg,1
000097.jpg,4
011930.jpg,0
006719.jpg,0
006393.jpg,4
011542.jpg,2
015620.jpg,4
000608.jpg,3
013637.jpg,1
013644.jpg,2
004365.jpg,0
001799.jpg,0
010741.jpg,0
005608.jpg,3
003971.jpg,1
015179.jpg,4
012460.jpg,0
001182.jpg,0
006880.jpg,1
014718.jpg,0
008596.jpg,2
006866.jpg,2
001979.jpg,0
012621.jpg,3
019151.jpg,2
018968.jpg,4
005162.jpg,1
001405.jpg,1
004503.jpg,0
015637.jpg,3
018676.jpg,2
007735.jpg,2
016781.jpg,4
001064.jpg,1
003044.jpg,1
006762.jpg,3
008499.jpg,3
006550.jpg,0
013079.jpg,0
012515.jpg,3
011029.jpg,0
014596.jpg,0
012266.jpg,0
014126.jpg,2
003179.jpg,0
015368.jpg,0
003916.jpg,1
018583.jpg,3
008907.jpg,0
001516.jpg,1
010706.jpg,0
010593.jpg,1
007101.jpg,3
015068.jpg,0
012187.jpg,1
017152.jpg,0
009940.jpg,0
006287.jpg,0
008931.jpg,1
016499.jpg,0
015493.jpg,0
004343.jpg,3
005842.jpg,3
004099.jpg,2
015850.jpg,0
019035.jpg,1
001027.jpg,3
014138.jpg,3
018089.jpg,2
009580.jpg,0
011273.jpg,0
005306.jpg,3
000635.jpg,1
001197.jpg,2
016281.jpg,0
008497.jpg,0
008174.jpg,0
003336.jpg,2
007260.jpg,0
016139.jpg,0
011020.jpg,0
002336.jpg,3
008882.jpg,0
002160.jpg,3
008724.jpg,2
004444.jpg,1
009877.jpg,0
013195.jpg,1
017907.jpg,0
005869.jpg,0
015806.jpg,0
015771.jpg,2
018973.jpg,0
017969.jpg,0
004274.jpg,1
017790.jpg,3
018221.jpg,0
011016.jpg,0
012111.jpg,1
008716.jpg,4
017075.jpg,2
000424.jpg,3
007846.jpg,2
011477.jpg,2
012192.jpg,3
000479.jpg,3
014822.jpg,1
000353.jpg,0
015159.jpg,1
005726.jpg,3
014723.jpg,4
006353.jpg,3
015412.jpg,0
016336.jpg,0
007524.jpg,0
006399.jpg,2
006928.jpg,3
003006.jpg,2
005003.jpg,0
009768.jpg,0
008164.jpg,1
014813.jpg,3
011105.jpg,0
007857.jpg,2
015952.jpg,3
013215.jpg,0
010418.jpg,0
013722.jpg,0
017704.jpg,0
014312.jpg,2
002666.jpg,0
005839.jpg,0
016027.jpg,0
007623.jpg,0
013741.jpg,3
005735.jpg,0
012933.jpg,0
007990.jpg,1
013901.jpg,1
016401.jpg,0
011276.jpg,0
008333.jpg,2
018778.jpg,2
014558.jpg,4
015441.jpg,4
000957.jpg,0
001503.jpg,0
008141.jpg,2
009644.jpg,0
004233.jpg,0
002115.jpg,2
011951.jpg,0
008447.jpg,1
006518.jpg,1
007299.jpg,1
018880.jpg,0
016247.jpg,0
001692.jpg,0
018860.jpg,4
012231.jpg,2
003149.jpg,0
012327.jpg,1
000778.jpg,2
017918.jpg,1
001636.jpg,4
015646.jpg,3
004564.jpg,1
001515.jpg,0
008888.jpg,2
017937.jpg,0
004258.jpg,1
009992.jpg,0
015554.jpg,4
001411.jpg,1
005464.jpg,1
000941.jpg,0
017723.jpg,0
014971.jpg,0
010537.jpg,0
011577.jpg,0
010739.jpg,0
006453.jpg,0
018884.jpg,4
017754.jpg,1
006302.jpg,1
005633.jpg,0
008237.jpg,0
010798.jpg,0
014527.jpg,4
018956.jpg,1
008318.jpg,1
017024.jpg,2
006834.jpg,3
013806.jpg,0
000470.jpg,1
013332.jpg,3
018641.jpg,4
018095.jpg,0
010913.jpg,0
016262.jpg,0
